team_member_id,team_id,user_id,role_id
1,1,142,2
2,1,85,4
3,1,297,4
4,1,387,4
5,1,423,4
6,1,428,4
7,1,251,4
8,1,222,4
9,1,88,4
10,1,275,4
11,1,276,4
12,1,421,4
13,2,362,2
14,3,196,2
15,4,280,2
16,5,500,2
17,6,378,2
18,7,306,2
19,8,481,2
20,9,199,2
21,10,38,2
22,11,289,2
23,11,214,4
24,11,232,4
25,11,451,4
26,11,67,4
27,11,192,4
28,11,71,4
29,11,412,4
30,11,270,4
31,11,465,4
32,11,122,4
33,11,359,4
34,11,81,4
35,11,113,4
36,11,319,4
37,11,117,4
38,12,466,2
39,12,349,4
40,13,213,2
41,14,288,2
42,15,352,2
43,16,370,2
44,17,463,2
45,18,249,2
46,19,112,2
47,20,426,2
48,21,398,2
49,21,173,4
50,21,51,4
51,21,396,4
52,21,446,4
53,21,323,4
54,21,204,4
55,21,73,4
56,21,18,4
57,21,427,4
58,21,244,4
59,21,333,4
60,21,428,4
61,21,139,4
62,21,181,4
63,21,253,4
64,22,459,2
65,22,5,4
66,22,99,4
67,22,210,4
68,22,223,4
69,23,460,2
70,24,261,2
71,25,478,2
72,26,98,2
73,27,215,2
74,28,393,2
75,29,79,2
76,30,162,2
77,31,374,2
78,31,451,4
79,31,118,4
80,31,229,4
81,31,448,4
82,31,131,4
83,31,88,4
84,31,373,4
85,31,174,4
86,31,166,4
87,31,486,4
88,31,176,4
89,31,385,4
90,31,91,4
91,31,43,4
92,31,475,4
93,32,1,2
94,32,292,4
95,32,331,4
96,32,8,4
97,32,169,4
98,33,496,2
99,33,440,4
100,34,56,2
101,34,424,4
102,35,80,2
103,36,94,2
104,37,123,2
105,38,290,2
106,39,148,2
107,40,425,2
108,41,286,2
109,41,110,4
110,41,318,4
111,41,58,4
112,41,245,4
113,41,191,4
114,41,31,4
115,41,238,4
116,41,10,4
117,41,207,4
118,41,300,4
119,42,93,2
120,43,388,2
121,44,338,2
122,45,361,2
123,46,454,2
124,47,328,2
125,48,237,2
126,49,499,2
127,50,203,2
128,51,453,2
129,51,149,4
130,51,364,4
131,51,471,4
132,51,195,4
133,51,341,4
134,51,384,4
135,51,170,4
136,51,473,4
137,51,405,4
138,51,235,4
139,51,26,4
140,51,7,4
141,51,8,4
142,51,175,4
143,52,206,2
144,52,39,4
145,52,429,4
146,52,119,4
147,53,293,2
148,53,68,4
149,54,485,2
150,55,84,2
151,56,376,2
152,57,480,2
153,58,55,2
154,59,171,2
155,60,116,2
156,61,147,2
157,61,214,4
158,61,497,4
159,61,193,4
160,61,263,4
161,61,153,4
162,61,191,4
163,61,20,4
164,61,333,4
165,61,351,4
166,61,53,4
167,61,296,4
168,61,410,4
169,61,347,4
170,61,474,4
171,61,183,4
172,62,447,2
173,62,154,4
174,63,97,2
175,64,470,2
176,65,284,2
177,66,483,2
178,67,386,2
179,68,156,2
180,69,12,2
181,70,380,2
182,71,489,2
183,71,298,4
184,71,91,4
185,71,445,4
186,71,134,4
187,71,242,4
188,71,33,4
189,71,277,4
190,71,264,4
191,71,402,4
192,71,301,4
193,71,316,4
194,71,31,4
195,71,490,4
196,71,359,4
197,71,146,4
198,72,105,2
199,72,327,4
200,73,212,2
201,74,476,2
202,75,310,2
203,76,353,2
204,77,168,2
205,78,363,2
206,79,339,2
207,80,285,2
208,81,103,2
209,81,57,4
210,81,452,4
211,81,375,4
212,81,349,4
213,81,248,4
214,81,239,4
215,81,49,4
216,81,6,4
217,81,307,4
218,81,218,4
219,81,330,4
220,81,4,4
221,81,262,4
222,81,240,4
223,82,326,2
224,83,439,2
225,84,50,2
226,85,184,2
227,86,41,2
228,87,179,2
229,88,159,2
230,89,236,2
231,90,408,2
232,91,433,2
233,91,138,4
234,91,256,4
235,91,461,4
236,91,298,4
237,91,492,4
238,91,43,4
239,91,29,4
240,91,128,4
241,91,337,4
242,91,193,4
243,91,75,4
244,91,232,4
245,91,424,4
246,91,183,4
247,92,278,2
248,92,53,4
249,92,197,4
250,92,18,4
251,92,136,4
252,93,140,2
253,93,394,4
254,94,219,2
255,95,107,2
256,96,255,2
257,97,431,2
258,98,477,2
259,99,36,2
260,100,381,2
261,101,395,2
262,101,208,4
263,101,318,4
264,101,358,4
265,101,336,4
266,101,131,4
267,101,20,4
268,101,178,4
269,101,432,4
270,101,25,4
271,101,274,4
272,101,167,4
273,101,434,4
274,101,312,4
275,101,437,4
276,102,418,2
277,102,346,4
278,102,263,4
279,102,245,4
280,102,37,4
281,103,201,2
282,104,299,2
283,105,155,2
284,106,15,2
285,107,217,2
286,108,303,2
287,109,188,2
288,110,409,2
289,111,224,2
290,111,327,4
291,111,391,4
292,111,141,4
293,111,129,4
294,111,194,4
295,111,272,4
296,111,228,4
297,111,157,4
298,111,216,4
299,111,150,4
300,111,302,4
301,111,28,4
302,111,445,4
303,111,334,4
304,112,87,2
305,112,61,4
306,112,14,4
307,112,111,4
308,113,3,2
309,113,360,4
310,113,158,4
311,113,119,4
312,114,267,2
313,115,407,2
314,116,92,2
315,117,282,2
316,118,63,2
317,119,397,2
318,120,48,2
319,121,472,2
320,121,174,4
321,121,347,4
322,121,62,4
323,121,115,4
324,121,379,4
325,121,172,4
326,121,150,4
327,121,73,4
328,121,392,4
329,121,167,4
330,121,134,4
331,121,358,4
332,121,422,4
333,121,387,4
334,121,247,4
335,122,456,2
336,122,350,4
337,122,220,4
338,122,133,4
339,122,37,4
340,122,264,4
341,122,250,4
342,122,189,4
343,123,47,2
344,123,109,4
345,123,441,4
346,123,234,4
347,124,320,2
348,124,186,4
349,125,102,2
350,125,126,4
351,126,273,2
352,127,404,2
353,128,438,2
354,129,89,2
355,129,405,4
356,130,430,2
357,131,2,2
358,131,301,4
359,131,32,4
360,131,369,4
361,131,202,4
362,131,256,4
363,131,270,4
364,131,77,4
365,131,346,4
366,131,176,4
367,131,467,4
368,131,373,4
369,131,371,4
370,131,274,4
371,131,319,4
372,131,220,4
373,132,121,2
374,132,257,4
375,132,52,4
376,132,436,4
377,132,23,4
378,132,114,4
379,133,484,2
380,133,307,4
381,134,345,2
382,134,262,4
383,135,464,2
384,136,455,2
385,137,357,2
386,138,95,2
387,139,46,2
388,140,90,2
389,141,366,2
390,141,139,4
391,141,99,4
392,141,461,4
393,141,422,4
394,141,296,4
395,141,29,4
396,141,356,4
397,141,335,4
398,141,435,4
399,141,186,4
400,141,126,4
401,141,115,4
402,141,321,4
403,141,141,4
404,141,351,4
405,142,324,2
406,142,22,4
407,142,448,4
408,143,165,2
409,144,44,2
410,145,281,2
411,145,309,4
412,146,469,2
413,147,252,2
414,148,60,2
415,149,283,2
416,150,265,2
417,151,383,2
418,151,413,4
419,151,487,4
420,151,329,4
421,151,104,4
422,151,221,4
423,151,468,4
424,151,372,4
425,151,149,4
426,151,390,4
427,151,32,4
428,151,135,4
429,151,204,4
430,151,365,4
431,151,67,4
432,151,35,4
433,152,343,2
434,152,294,4
435,152,279,4
436,152,122,4
437,152,360,4
438,153,42,2
439,154,233,2
440,155,498,2
441,156,482,2
442,156,17,4
443,157,200,2
444,158,130,2
445,159,287,2
446,160,143,2
447,161,145,2
448,161,292,4
449,161,488,4
450,161,11,4
451,161,325,4
452,161,416,4
453,161,185,4
454,161,96,4
455,161,57,4
456,161,305,4
457,161,413,4
458,161,369,4
459,161,354,4
460,161,462,4
461,161,76,4
462,161,229,4
463,162,164,2
464,162,377,4
465,162,109,4
466,162,275,4
467,162,192,4
468,163,259,2
469,163,364,4
470,164,458,2
471,165,180,2
472,166,403,2
473,167,450,2
474,168,65,2
475,169,382,2
476,170,177,2
477,171,308,2
478,171,375,4
479,171,222,4
480,171,59,4
481,171,78,4
482,171,170,4
483,171,146,4
484,171,314,4
485,171,291,4
486,171,26,4
487,171,160,4
488,171,356,4
489,171,45,4
490,171,33,4
491,171,66,4
492,171,341,4
493,172,271,2
494,172,7,4
495,172,64,4
496,173,420,2
497,173,210,4
498,173,400,4
499,174,198,2
500,175,190,2
501,176,230,2
502,177,144,2
503,178,254,2
504,179,495,2
505,180,368,2
506,181,491,2
507,181,202,4
508,181,106,4
509,181,385,4
510,181,241,4
511,181,66,4
512,181,316,4
513,181,172,4
514,181,389,4
515,181,24,4
516,181,62,4
517,181,242,4
518,181,416,4
519,181,348,4
520,181,136,4
521,181,163,4
522,182,16,2
523,182,83,4
524,182,465,4
525,182,436,4
526,182,244,4
527,183,101,2
528,183,58,4
529,184,355,2
530,184,175,4
531,185,243,2
532,186,211,2
533,187,225,2
534,188,493,2
535,189,69,2
536,190,322,2
537,191,332,2
538,191,189,4
539,191,423,4
540,191,157,4
541,191,163,4
542,191,246,4
543,191,51,4
544,191,457,4
545,191,260,4
546,191,291,4
547,191,96,4
548,191,304,4
549,191,415,4
550,191,331,4
551,191,452,4
552,191,14,4
553,192,74,2
554,192,406,4
555,192,228,4
556,192,297,4
557,192,272,4
558,192,86,4
559,192,19,4
560,192,153,4
561,193,411,2
562,193,239,4
563,193,379,4
564,193,125,4
565,194,419,2
566,194,441,4
567,195,30,2
568,196,161,2
569,196,209,4
570,197,317,2
571,198,82,2
572,199,132,2
573,200,266,2
